date,keyword,position,search_volume,mobile_score,desktop_score,response_time,internal_links,readability_score
2025-07-22,veteran life insurance,38,9657,78,84,0.063603,13,76
2025-07-22,military life insurance,20,4651,78,84,0.063603,13,76
2025-07-22,veteran life insurance rates,20,3866,78,84,0.063603,13,76
2025-07-22,best life insurance for veterans,11,9996,78,84,0.063603,13,76
2025-07-22,veteran life insurance quotes,6,5011,78,84,0.063603,13,76
2025-07-22,military life insurance coverage,2,3125,78,84,0.063603,13,76
2025-07-22,veteran life insurance policy,39,6276,78,84,0.063603,13,76
2025-07-22,life insurance for veterans,2,2342,78,84,0.063603,13,76
2025-07-22,veteran life insurance companies,21,3063,78,84,0.063603,13,76
